id,stimulus,agent,gaze,intentionality,agency,rationality,intelligence
660,HRIES_ho1,human,open,3,4,2,3
660,HRIES_rc1,robot,closed,0,1,1,2
660,HRIES_hc2,human,closed,0,1,1,2
660,HRIES_ro3,robot,open,1,1,2,2
660,HRIES_rc3,robot,closed,0,1,1,1
660,HRIES_ho2,human,open,4,4,5,5
660,HRIES_hc3,human,closed,0,0,0,3
660,HRIES_hc1,human,closed,0,0,2,1
660,HRIES_ho3,human,open,4,5,5,5
650,HRIES_ho3,human,open,0,0,0,0
650,HRIES_ho2,human,open,0,0,0,0
650,HRIES_hc2,human,closed,0,0,0,0
650,HRIES_rc2,robot,closed,0,0,0,0
650,HRIES_ro3,robot,open,2,0,2,2
650,HRIES_ro2,robot,open,1,0,2,2
650,HRIES_hc3,human,closed,0,0,0,0
650,HRIES_ho1,human,open,1,0,0,0
650,HRIES_ro1,robot,open,1,0,3,5
650,HRIES_rc1,robot,closed,0,0,0,2
650,HRIES_rc3,robot,closed,0,0,0,2
650,HRIES_hc1,human,closed,0,0,0,0
637,HRIES_ro3,robot,open,0,0,0,0
637,HRIES_hc3,human,closed,0,0,0,0
637,HRIES_ho2,human,open,3,3,3,3
637,HRIES_ho1,human,open,4,3,3,3
637,HRIES_ho3,human,open,3,3,3,3
637,HRIES_rc1,robot,closed,0,0,0,0
637,HRIES_ro1,robot,open,0,0,0,0
637,HRIES_rc3,robot,closed,0,0,0,0
637,HRIES_hc2,human,closed,0,0,0,0
637,HRIES_ro2,robot,open,0,0,0,0
637,HRIES_hc1,human,closed,0,0,0,0
637,HRIES_rc2,robot,closed,0,0,0,0
632,HRIES_ro2,robot,open,1,3,6,6
632,HRIES_rc2,robot,closed,1,1,5,5
632,HRIES_ho3,human,open,6,5,4,5
632,HRIES_ro3,robot,open,5,6,6,6
632,HRIES_ro1,robot,open,1,0,4,4
632,HRIES_ho2,human,open,6,6,6,6
632,HRIES_hc3,human,closed,0,4,4,5
632,HRIES_rc1,robot,closed,0,3,4,4
632,HRIES_hc1,human,closed,0,4,2,4
632,HRIES_ho1,human,open,6,6,6,6
632,HRIES_rc3,robot,closed,0,1,4,2
632,HRIES_hc2,human,closed,0,3,5,5
630,HRIES_rc1,robot,closed,5,1,5,5
630,HRIES_ho3,human,open,5,5,4,4
630,HRIES_hc3,human,closed,2,2,2,4
630,HRIES_rc3,robot,closed,2,1,4,4
630,HRIES_ro1,robot,open,5,1,5,5
630,HRIES_ro3,robot,open,4,1,4,2
630,HRIES_rc2,robot,closed,2,1,4,2
630,HRIES_hc1,human,closed,2,5,4,5
630,HRIES_ho2,human,open,5,4,4,5
630,HRIES_ro2,robot,open,2,1,3,4
630,HRIES_hc2,human,closed,1,2,3,4
630,HRIES_ho1,human,open,4,4,4,5
629,HRIES_ho3,human,open,5,4,4,3
629,HRIES_ho1,human,open,4,3,3,4
629,HRIES_hc1,human,closed,1,1,2,1
629,HRIES_rc1,robot,closed,2,3,4,3
629,HRIES_hc3,human,closed,0,1,3,3
629,HRIES_rc3,robot,closed,0,2,1,3
629,HRIES_ho2,human,open,4,4,4,4
629,HRIES_hc2,human,closed,3,3,3,3
629,HRIES_ro2,robot,open,3,2,3,4
629,HRIES_rc2,robot,closed,2,2,3,3
629,HRIES_ro1,robot,open,6,4,4,3
629,HRIES_ro3,robot,open,4,4,4,4
